StartDate	EndDate	Status	IPAddress	Progress	Duration..in.seconds.	Finished	RecordedDate	ResponseId	RecipientLastName	RecipientFirstName	RecipientEmail	ExternalReference	LocationLatitude	LocationLongitude	DistributionChannel	UserLanguage	Q8	Q9_1	Q9_2	Q9_3	Q9_4	Q9_5	Q9_6	Q9_7	Q9_8	Q9_9	Q9_10	Q9_11	Q9_12	Q9_13	Q9_14	Q9_15	Q9_16	Q9_17	Q9_18	Q9_19	Q9_20	Q9_21	Q9_22	Q9_23	Q9_24	Q9_25	Q10_1	Q10_2	Q10_3	Q10_4	Q10_5	Q10_6	Q10_7	Q10_8	Q10_9	Q10_10	Q10_11	Q10_12	Q10_13	Q10_14	Q10_15	Q10_16	Q10_17	Q10_18	Q10_19	Q10_20	Q10_21	Q11_1	Q11_2	Q11_3	Q11_4	Q13_1	Q13_2	Q13_3	Q13_4	Q13_5	Q13_6	Q13_7	Q13_8	Q13_9	Q13_10	Q13_11	Q13_12	Q13_13	Q13_14	Q13_15	Q13_16	Q13_17	Q13_18	Q13_19	Q13_20	Q13_21	Q13_22	Q5	Q6	Q7	Semester
2021-12-02T09:07:40Z	2021-12-02T09:11:10Z	IP Address	134.82.165.147	100	210	TRUE	2021-12-02T09:11:10Z	R_zUNFQzzQbP9dpex	NA	NA	NA	NA	40.97300720214844	-76.91169738769531	anonymous	EN	I now plan to pursue a medical degree	Some	Little	Extensive	Much	Extensive	Much	Little	Little	Little	Much	Much	Much	Extensive	Extensive	Extensive	Extensive	Much	Much	Little	Some	Extensive	Extensive	Much	Much	Extensive	Moderate gain	Very large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Large gain	Very large gain	Very large gain	Very large gain	Very large gain	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Agree	Strongly agree	Strongly agree	Neutral	Disagree	Disagree	Agree	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly agree	Disagree	Disagree	Disagree	Strongly agree	Agree	Neutral	Strongly agree	Disagree	Yes	Biology	Definitely yes	Fall 2021
2021-12-02T09:07:40Z	2021-12-02T09:12:39Z	IP Address	134.82.187.41	100	299	TRUE	2021-12-02T09:12:40Z	R_1SM04G5EtwxlVRf	NA	NA	NA	NA	40.97300720214844	-76.91169738769531	anonymous	EN	I now plan to pursue a medical degree	Some	Extensive	Some	Much	Extensive	Extensive	Some	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Some	Some	Some	Some	Extensive	Extensive	Extensive	Very large gain	Very large gain	Very large gain	Large gain	Very large gain	Very large gain	Large gain	Large gain	Large gain	Very large gain	Large gain	Very large gain	Very large gain	Very large gain	Very large gain	Large gain	Very large gain	Large gain	Very large gain	Very large gain	Large gain	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly agree	Disagree	Neutral	Disagree	Disagree	Disagree	Disagree	Strongly agree	Strongly agree	Disagree	Strongly agree	Neutral	Neutral	Disagree	Disagree	Strongly agree	Neutral	Neutral	Strongly agree	Disagree	Yes	biology pre-med track	Definitely yes	Fall 2021
2021-12-02T09:08:04Z	2021-12-02T09:13:28Z	IP Address	134.82.160.173	100	323	TRUE	2021-12-02T09:13:28Z	R_pPM0wqgErqppc89	NA	NA	NA	NA	40.97300720214844	-76.91169738769531	anonymous	EN	I now plan to pursue a medical degree	Some	Some	Much	Much	Extensive	Extensive	Little	Much	Much	Some	Some	Much	Much	Much	Much	Much	Much	Much	Much	Little	Some	None	Some	Much	Much	Moderate gain	Large gain	Large gain	Large gain	Moderate gain	Moderate gain	Moderate gain	Large gain	Large gain	Large gain	Very large gain	Small gain	Very large gain	Very large gain	Large gain	Large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Strongly agree	Strongly agree	Agree	Strongly agree	Strongly agree	Disagree	Neutral	Neutral	Disagree	Disagree	Disagree	Disagree	Neutral	Agree	Strongly agree	Neutral	Strongly agree	Strongly agree	Disagree	Agree	Disagree	Strongly agree	Agree	Disagree	Agree	Disagree	Yes	Biology	Prefer not to answer	Fall 2021
2021-12-02T09:07:40Z	2021-12-02T09:13:50Z	IP Address	134.82.160.183	100	369	TRUE	2021-12-02T09:13:51Z	R_2rjUsgb2Gdhcvhl	NA	NA	NA	NA	40.97300720214844	-76.91169738769531	anonymous	EN	I now plan to pursue a medical degree	Much	Much	Much	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Much	Extensive	Extensive	Much	Some	Little	Little	Extensive	Extensive	Extensive	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Agree	Agree	Agree	Agree	Neutral	Disagree	Neutral	Neutral	Agree	Agree	Agree	Agree	Neutral	Agree	Neutral	Disagree	Agree	Disagree	Agree	Agree	Disagree	Yes	Neuroscience	Definitely yes	Fall 2021
2021-12-02T09:07:37Z	2021-12-02T09:13:58Z	IP Address	134.82.171.148	100	381	TRUE	2021-12-02T09:13:58Z	R_abofYWOCbZLvAw9	NA	NA	NA	NA	40.97300720214844	-76.91169738769531	anonymous	EN	I now plan to pursue a Doctoral degree in a science-related field	Extensive	Some	Little	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Some	Little	Little	Little	Extensive	Extensive	Extensive	Moderate gain	Large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Large gain	Very large gain	Large gain	Very large gain	Large gain	Large gain	Very large gain	Small gain	Very large gain	Very large gain	Very large gain	Moderate gain	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly agree	Agree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly disagree	Neutral	Strongly agree	Agree	Agree	Strongly agree	Strongly agree	Neutral	Disagree	Neutral	Strongly agree	Strongly agree	Strongly disagree	Strongly agree	Strongly disagree	Yes	Biology and Spanish	Definitely yes	Fall 2021
2021-12-02T09:07:55Z	2021-12-02T09:14:39Z	IP Address	134.82.112.15	100	403	TRUE	2021-12-02T09:14:39Z	R_54mbHCWL3hEXQ7D	NA	NA	NA	NA	40.97300720214844	-76.91169738769531	anonymous	EN	I now plan to pursue a medical degree	N.A./Prefer not to answer	N.A./Prefer not to answer	Much	Some	Some	Much	Extensive	Some	Extensive	Extensive	Extensive	Little	Extensive	Extensive	Much	Some	Much	Extensive	Little	Little	Little	None	Extensive	Extensive	Some	No gain or very small gain	Large gain	Moderate gain	Small gain	N.A./Prefer not to answer	Moderate gain	Small gain	Small gain	Moderate gain	Moderate gain	Moderate gain	Moderate gain	Large gain	Moderate gain	Moderate gain	Moderate gain	No gain or very small gain	Small gain	Large gain	Small gain	Small gain	Disagree	Agree	Strongly disagree	Neutral	Agree	Agree	Agree	Disagree	Agree	Strongly agree	Neutral	Neutral	Agree	Agree	Disagree	Agree	Agree	Neutral	Agree	Neutral	Disagree	Agree	Disagree	Agree	Agree	Disagree	Yes	Biology	It is likely	Fall 2021
2021-12-02T09:08:29Z	2021-12-02T09:14:44Z	IP Address	134.82.164.68	100	374	TRUE	2021-12-02T09:14:44Z	R_2wBRK9Cm4Kfcn3E	NA	NA	NA	NA	40.97300720214844	-76.91169738769531	anonymous	EN	I now plan to pursue a Master's degree in a science-related field	Some	Extensive	Extensive	Much	Some	Extensive	Little	Some	Much	Extensive	Extensive	Extensive	Extensive	Extensive	Some	Much	Some	Much	Little	Little	Some	Much	Much	Much	Much	Small gain	Very large gain	Very large gain	Very large gain	Moderate gain	Large gain	Large gain	Very large gain	Very large gain	Very large gain	Large gain	Large gain	Very large gain	Large gain	Moderate gain	Very large gain	Moderate gain	Moderate gain	Moderate gain	Large gain	Moderate gain	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly disagree	Agree	Strongly agree	Neutral	Disagree	Agree	Neutral	Disagree	Disagree	Strongly disagree	Strongly agree	Neutral	Neutral	Agree	Strongly disagree	Yes	Biology	Definitely yes	Fall 2021
2021-12-02T09:08:37Z	2021-12-02T09:14:52Z	IP Address	134.82.166.106	100	374	TRUE	2021-12-02T09:14:52Z	R_3TLpaErkY6LC4Xn	NA	NA	NA	NA	40.97300720214844	-76.91169738769531	anonymous	EN	I now plan to pursue a Doctoral degree in a science-related field	Little	Some	Extensive	Some	Extensive	Extensive	Extensive	Much	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Some	Some	Much	Some	Extensive	Extensive	Extensive	Moderate gain	Very large gain	Large gain	Very large gain	Large gain	Large gain	Moderate gain	Large gain	Large gain	Large gain	Very large gain	Very large gain	Very large gain	Large gain	Moderate gain	Large gain	Very large gain	Large gain	Large gain	Large gain	Moderate gain	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Neutral	Strongly agree	Neutral	Disagree	Strongly disagree	Strongly disagree	Strongly disagree	Neutral	Agree	Disagree	Disagree	Strongly agree	Neutral	Neutral	Disagree	Strongly disagree	Strongly agree	Neutral	Disagree	Agree	Strongly disagree	Yes	Biology	Definitely yes	Fall 2021
2021-12-02T09:08:07Z	2021-12-02T09:15:14Z	IP Address	134.82.172.42	100	426	TRUE	2021-12-02T09:15:14Z	R_8IgbHKrrUZK7URP	NA	NA	NA	NA	40.97300720214844	-76.91169738769531	anonymous	EN	I now plan to pursue a medical degree	Extensive	Extensive	Extensive	Extensive	Extensive	Much	Extensive	Extensive	Extensive	Extensive	Extensive	Much	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	N.A./Prefer not to answer	N.A./Prefer not to answer	N.A./Prefer not to answer	N.A./Prefer not to answer	Extensive	Extensive	Extensive	Moderate gain	Large gain	Very large gain	Very large gain	Large gain	Very large gain	Large gain	Large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Large gain	Very large gain	Moderate gain	Large gain	Large gain	Large gain	Moderate gain	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Agree	Strongly agree	Neutral	Strongly disagree	Strongly disagree	Strongly disagree	Strongly disagree	Disagree	Strongly agree	Neutral	Neutral	Agree	Agree	Disagree	Strongly disagree	Strongly disagree	Strongly agree	Neutral	Strongly disagree	Disagree	Strongly disagree	Yes	Biology	Definitely yes	Fall 2021
2021-12-02T09:08:32Z	2021-12-02T09:17:32Z	IP Address	134.82.160.133	100	539	TRUE	2021-12-02T09:17:32Z	R_3FROjIpOvquCPaG	NA	NA	NA	NA	40.97300720214844	-76.91169738769531	anonymous	EN	I have not considered any post-graduate education	Extensive	Much	Much	Much	Much	Much	Much	Extensive	Extensive	Extensive	Much	Much	Extensive	Much	Much	Much	Extensive	Much	Extensive	Much	Little	Little	Much	Extensive	Some	Moderate gain	Large gain	Large gain	Moderate gain	Large gain	Large gain	Large gain	Very large gain	Very large gain	Very large gain	Large gain	Very large gain	Very large gain	Large gain	Large gain	Very large gain	Moderate gain	Very large gain	Large gain	Very large gain	Moderate gain	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Disagree	Strongly agree	Disagree	Strongly disagree	Disagree	Strongly disagree	Strongly disagree	Neutral	Strongly agree	Disagree	Disagree	Strongly agree	Neutral	Agree	Disagree	Strongly disagree	Strongly agree	Agree	Agree	Neutral	Strongly disagree	Yes	Biology	Definitely yes	Fall 2021
2021-12-02T13:54:17Z	2021-12-02T14:00:29Z	IP Address	134.82.185.86	100	372	TRUE	2021-12-02T14:00:30Z	R_1MYyxjCeks7Yhes	NA	NA	NA	NA	40.97300720214844	-76.91169738769531	anonymous	EN	I now plan to pursue a Master's degree in a science-related field	Extensive	Some	Much	Extensive	Extensive	Extensive	Much	Extensive	Extensive	Extensive	Extensive	Much	Extensive	Extensive	Much	Extensive	Some	Much	Much	None	None	None	Extensive	Extensive	Some	Moderate gain	Very large gain	Very large gain	Very large gain	Large gain	Large gain	Large gain	Large gain	Very large gain	Very large gain	Large gain	Very large gain	Very large gain	Very large gain	Large gain	Very large gain	Very large gain	Large gain	Very large gain	Very large gain	Moderate gain	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly agree	Neutral	Disagree	Strongly disagree	Strongly disagree	Disagree	Agree	Strongly agree	Neutral	Disagree	Agree	Disagree	Agree	Neutral	Disagree	Strongly agree	Agree	Disagree	Strongly agree	Strongly disagree	No	Biology	It is likely	Fall 2021
2021-12-02T13:54:21Z	2021-12-02T14:00:47Z	IP Address	134.82.160.82	100	386	TRUE	2021-12-02T14:00:48Z	R_NVHQcfRvj1qxPNf	NA	NA	NA	NA	40.97300720214844	-76.91169738769531	anonymous	EN	I now plan to pursue a medical degree	Extensive	Much	Extensive	Extensive	Extensive	Extensive	Some	Some	Extensive	Extensive	Extensive	Much	Extensive	Extensive	Much	Extensive	Extensive	Extensive	Some	None	None	None	Much	Extensive	Extensive	Large gain	Large gain	Very large gain	Very large gain	Large gain	Very large gain	Moderate gain	Moderate gain	Very large gain	Very large gain	Large gain	Very large gain	Large gain	Very large gain	Moderate gain	Very large gain	Large gain	Large gain	Small gain	Very large gain	Moderate gain	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly agree	Disagree	Strongly disagree	Disagree	Strongly disagree	Disagree	Agree	Strongly agree	Agree	Neutral	Strongly agree	Strongly agree	Disagree	Strongly disagree	Strongly disagree	Agree	Agree	Strongly disagree	Agree	Strongly disagree	Yes	Biology pre-ped	Definitely yes	Fall 2021
2021-12-02T13:54:18Z	2021-12-02T14:00:52Z	IP Address	134.82.190.29	100	394	TRUE	2021-12-02T14:00:53Z	R_8uyVlpHDbTdPHWx	NA	NA	NA	NA	40.97300720214844	-76.91169738769531	anonymous	EN	I now plan to pursue a Doctoral degree in a science-related field	Extensive	Extensive	Much	Extensive	Extensive	Extensive	Some	Much	Extensive	Extensive	Extensive	None	Extensive	Extensive	Some	Much	Extensive	Extensive	Some	None	None	None	Extensive	Extensive	Some	Moderate gain	Large gain	Large gain	Very large gain	Moderate gain	Large gain	Large gain	Large gain	Very large gain	Very large gain	Large gain	Large gain	Very large gain	Very large gain	Moderate gain	Very large gain	Very large gain	Large gain	Moderate gain	Large gain	Large gain	Agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Neutral	Agree	Neutral	Neutral	Agree	Strongly disagree	Disagree	Agree	Strongly agree	Disagree	Agree	Strongly agree	Agree	Disagree	Neutral	Disagree	Strongly agree	Agree	Neutral	Neutral	Strongly disagree	Yes	BS in Biology	Definitely yes	Fall 2021
2021-12-02T13:55:08Z	2021-12-02T14:01:09Z	IP Address	134.82.182.47	100	361	TRUE	2021-12-02T14:01:10Z	R_yrJRleAPjTiPpBL	NA	NA	NA	NA	40.97300720214844	-76.91169738769531	anonymous	EN	I now plan to pursue a Doctoral degree in a science-related field	Extensive	Some	Extensive	Extensive	Extensive	Extensive	Much	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	None	None	None	None	Extensive	Extensive	Much	Moderate gain	Large gain	Large gain	Very large gain	Large gain	Large gain	Large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Moderate gain	Moderate gain	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Neutral	Neutral	Agree	Agree	Disagree	Disagree	Disagree	Disagree	Disagree	Agree	Neutral	Neutral	Agree	Agree	Disagree	Neutral	Neutral	Agree	Strongly disagree	Agree	Agree	Disagree	Yes	Biology	Definitely yes	Fall 2021
2021-12-02T13:54:16Z	2021-12-02T14:01:24Z	IP Address	134.82.189.13	100	427	TRUE	2021-12-02T14:01:24Z	R_3mn3pSSZax7buuE	NA	NA	NA	NA	40.97300720214844	-76.91169738769531	anonymous	EN	I now plan to pursue a Master's degree in a science-related field	N.A./Prefer not to answer	Some	Extensive	Some	Much	Some	Some	Much	Much	Much	Much	Some	Much	Much	Some	Much	Some	Much	Some	N.A./Prefer not to answer	N.A./Prefer not to answer	N.A./Prefer not to answer	Much	Much	N.A./Prefer not to answer	Moderate gain	Small gain	Moderate gain	Moderate gain	Small gain	Moderate gain	Small gain	Moderate gain	Moderate gain	Small gain	Moderate gain	N.A./Prefer not to answer	Moderate gain	Moderate gain	Small gain	Small gain	Moderate gain	Small gain	Small gain	Moderate gain	Small gain	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Neutral	Agree	Disagree	Disagree	Neutral	Disagree	Disagree	Disagree	Agree	Neutral	Neutral	Neutral	Agree	Neutral	Neutral	Neutral	Agree	Neutral	Disagree	Neutral	Disagree	Yes	Biology	Prefer not to answer	Fall 2021
2021-12-02T13:54:25Z	2021-12-02T14:01:28Z	IP Address	134.82.161.101	100	423	TRUE	2021-12-02T14:01:29Z	R_3MgoM9M1qsjTckC	NA	NA	NA	NA	40.97300720214844	-76.91169738769531	anonymous	EN	I now plan to pursue a medical degree	Extensive	Much	Much	Extensive	Extensive	Extensive	Extensive	Much	Extensive	Extensive	Much	Little	Extensive	Extensive	Much	Much	Some	Much	Some	N.A./Prefer not to answer	N.A./Prefer not to answer	N.A./Prefer not to answer	Extensive	Much	Much	Moderate gain	Large gain	Large gain	Large gain	Moderate gain	Large gain	Very large gain	Large gain	Very large gain	Very large gain	Very large gain	Large gain	Very large gain	Very large gain	Moderate gain	Very large gain	Moderate gain	Large gain	Large gain	Very large gain	Moderate gain	Agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly agree	Disagree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly disagree	Disagree	Strongly agree	Strongly disagree	Agree	Agree	Neutral	Disagree	Neutral	Strongly disagree	Agree	Strongly agree	Strongly disagree	Strongly agree	Strongly disagree	No	I'm a bio major	Definitely yes	Fall 2021
2021-12-02T13:54:17Z	2021-12-02T14:01:36Z	IP Address	134.82.172.91	100	439	TRUE	2021-12-02T14:01:37Z	R_3KW5yh31JSCPIzA	NA	NA	NA	NA	40.97300720214844	-76.91169738769531	anonymous	EN	I now plan to pursue a medical degree	Extensive	Extensive	Much	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Much	Extensive	Extensive	Much	None	None	None	None	Extensive	Extensive	Extensive	Very large gain	Large gain	Very large gain	Very large gain	Very large gain	Moderate gain	Large gain	Very large gain	Very large gain	Very large gain	Large gain	Large gain	Very large gain	Very large gain	Large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Moderate gain	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Neutral	Disagree	Strongly disagree	Strongly disagree	Agree	Strongly agree	Neutral	Disagree	Strongly agree	Agree	Disagree	Neutral	Strongly disagree	Agree	Strongly agree	Strongly agree	Strongly agree	Disagree	Yes	Biology	Definitely yes	Fall 2021
2021-12-02T13:54:15Z	2021-12-02T14:01:37Z	IP Address	134.82.168.227	100	441	TRUE	2021-12-02T14:01:37Z	R_2WAPte1pxVe4w9N	NA	NA	NA	NA	40.97300720214844	-76.91169738769531	anonymous	EN	I now plan to pursue a medical degree	N.A./Prefer not to answer	N.A./Prefer not to answer	Much	Extensive	Much	Much	Some	Much	Extensive	Extensive	Extensive	Much	Extensive	Extensive	Extensive	Much	Extensive	Much	N.A./Prefer not to answer	N.A./Prefer not to answer	N.A./Prefer not to answer	N.A./Prefer not to answer	Much	Extensive	Much	Moderate gain	Large gain	Large gain	Moderate gain	Large gain	Very large gain	Large gain	Moderate gain	Large gain	Very large gain	Very large gain	Moderate gain	Very large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Small gain	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Neutral	Agree	NA	Agree	Disagree	Strongly disagree	Agree	Disagree	Strongly agree	Disagree	Neutral	Agree	Neutral	Disagree	Strongly disagree	Strongly disagree	Strongly agree	Disagree	Agree	Agree	Strongly disagree	Yes	Biology BS	It is likely	Fall 2021
2021-12-02T13:54:19Z	2021-12-02T14:01:53Z	IP Address	134.82.184.74	100	454	TRUE	2021-12-02T14:01:53Z	R_1NDoRxSra3MhHSB	NA	NA	NA	NA	40.97300720214844	-76.91169738769531	anonymous	EN	I now plan to pursue a medical degree	Much	Much	Extensive	Extensive	Extensive	Extensive	Extensive	Much	Extensive	Extensive	Extensive	Some	Extensive	Much	Extensive	Extensive	Much	Extensive	Extensive	Some	Some	Some	Extensive	Extensive	Extensive	Moderate gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Moderate gain	Very large gain	Very large gain	Large gain	Very large gain	Very large gain	Very large gain	Large gain	Very large gain	Large gain	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Agree	Neutral	Disagree	Disagree	Strongly disagree	Disagree	Neutral	Strongly agree	Agree	Agree	Agree	Disagree	Agree	Neutral	Disagree	Strongly agree	Agree	Disagree	Agree	Disagree	Yes	Biology	Definitely yes	Fall 2021
2021-12-07T10:12:25Z	2021-12-07T10:17:17Z	IP Address	134.82.162.177	100	291	TRUE	2021-12-07T10:17:17Z	R_2QEV1AD0FRhV7rc	NA	NA	NA	NA	40.97300720214844	-76.91169738769531	anonymous	EN	I now plan to pursue a Master's degree in a science-related field	Much	Some	Some	Some	Much	Extensive	Some	Much	Much	Much	Much	Much	Extensive	Some	Much	Extensive	Extensive	Much	Some	None	None	None	None	Much	None	Small gain	Moderate gain	Moderate gain	Moderate gain	Moderate gain	Moderate gain	Small gain	Moderate gain	Moderate gain	Moderate gain	Small gain	Large gain	Large gain	Large gain	Moderate gain	Moderate gain	Small gain	Moderate gain	Small gain	Moderate gain	No gain or very small gain	Agree	Agree	Agree	Disagree	Agree	Agree	Agree	Disagree	Disagree	Neutral	Disagree	Disagree	Disagree	Agree	Agree	Agree	Agree	Neutral	Neutral	Agree	Disagree	Agree	Disagree	Agree	Disagree	Disagree	No	Biology	Definitely yes	Fall 2021
2021-12-07T10:12:26Z	2021-12-07T10:17:28Z	IP Address	134.82.160.94	100	302	TRUE	2021-12-07T10:17:28Z	R_1reukNxjVX0hOo1	NA	NA	NA	NA	40.97300720214844	-76.91169738769531	anonymous	EN	I now plan to pursue a medical degree	Little	Little	Much	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Much	Much	Much	Extensive	Some	None	None	None	Extensive	Extensive	N.A./Prefer not to answer	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Small gain	Very large gain	Very large gain	Very large gain	Very large gain	Small gain	Small gain	Large gain	Large gain	Large gain	Large gain	Small gain	Agree	Strongly agree	Strongly agree	Agree	Strongly agree	Agree	Agree	Agree	Disagree	Agree	Strongly disagree	Strongly disagree	Strongly agree	Agree	Disagree	Neutral	Agree	Agree	Agree	Agree	Disagree	Agree	Disagree	Agree	Agree	Disagree	Yes	Bio	Prefer not to answer	Fall 2021
2021-12-07T10:12:22Z	2021-12-07T10:17:46Z	IP Address	134.82.162.83	100	324	TRUE	2021-12-07T10:17:47Z	R_2tzk1CYJjYAYnqB	NA	NA	NA	NA	40.97300720214844	-76.91169738769531	anonymous	EN	I now plan to pursue a Master's degree in a science-related field	Much	Much	Some	Much	Extensive	Extensive	Some	Little	Much	Extensive	Extensive	Extensive	Extensive	Extensive	Some	Extensive	Some	Much	N.A./Prefer not to answer	N.A./Prefer not to answer	N.A./Prefer not to answer	N.A./Prefer not to answer	Much	Extensive	N.A./Prefer not to answer	Moderate gain	Large gain	Large gain	Very large gain	Moderate gain	Large gain	Large gain	Very large gain	Very large gain	Very large gain	Large gain	Very large gain	Very large gain	Very large gain	Moderate gain	Large gain	Large gain	Moderate gain	Moderate gain	Large gain	Very large gain	Agree	Strongly agree	Agree	Strongly agree	Agree	Agree	Strongly agree	NA	Agree	Neutral	Disagree	Disagree	Neutral	Agree	Agree	Agree	Agree	Neutral	Agree	Disagree	Strongly disagree	Agree	Strongly disagree	Strongly disagree	Agree	Strongly disagree	Yes	Biology	Definitely yes	Fall 2021
